year,month,day,tmax,tmin,precip,snow,snowcover
2017,12,2,61,32,0,0,0
2017,12,3,66,35,0,0,0
2017,12,4,58,27,0,0,0
2017,12,5,51,14,0,0,0
2017,12,6,41,19,0,0,0
2017,12,7,36,13,0,0,0
2017,12,8,60,32,0,0,0
2017,12,9,64,32,0,0,0
2017,12,10,62,32,0,0,0
2017,12,11,60,33,0,0,0
2017,12,12,68,28,0,0,0
2017,12,13,59,42,0,0,0
2017,12,14,45,23,0.18,2.1,1
2017,12,15,62,19,0,0,-999
2017,12,16,58,36,0,0,-999
2017,12,17,40,29,0,0,-999
2017,12,18,54,21,0,0,0
2017,12,19,51,28,0,0,0
2017,12,20,66,31,0,0,0
2017,12,21,53,17,0.22,3.5,3
2017,12,22,41,7,0,0,1
2017,12,23,37,11,-999,-999,1
2017,12,24,26,-2,0.25,3.6,4
2017,12,25,24,11,-999,-999,4
2017,12,26,17,8,0.02,0.8,5
2017,12,27,52,2,-999,-999,1
2017,12,28,51,27,0,0,1
2017,12,29,63,24,0,0,-999
2017,12,30,53,11,-999,0.1,-999
2017,12,31,27,12,0.01,0.1,-999
2018,1,1,30,12,0,0,-999
2018,1,2,46,12,0,0,-999
2018,1,3,50,20,0,0,-999
2018,1,4,52,24,0,0,-999
2018,1,5,62,25,0,0,-999
2018,1,6,60,30,0,0,-999
2018,1,7,55,30,0,0,-999
2018,1,8,56,25,0,0,0
2018,1,9,67,36,0,0,0
2018,1,10,59,44,0.01,0,0
2018,1,11,47,20,0,0,0
2018,1,12,48,29,0,0,0
2018,1,13,52,21,0,0,0
2018,1,14,52,22,0,0,0
2018,1,15,38,16,0.06,1.7,2
2018,1,16,36,0,0,0,1
2018,1,17,52,14,0,0,-999
2018,1,18,63,24,0,0,0
2018,1,19,69,38,0,0,0
2018,1,20,62,31,0,0,0
2018,1,21,32,24,0.67,7.1,7
2018,1,22,48,15,0,0,5
2018,1,23,44,19,0,0,4
2018,1,24,53,15,0,0,4
2018,1,25,53,28,0,0,4
2018,1,26,47,28,0,0,3
2018,1,27,45,20,0,0,3
2018,1,28,50,23,0,0,2
2018,1,29,59,23,0,0,1
2018,1,30,64,35,0,0,-999
2018,1,31,59,24,0,0,-999
2018,2,1,40,22,0.03,0.5,1
2018,2,2,52,23,0,0,0
2018,2,3,58,32,0,0,-999
